,Address,Coordinates
0,FUP Żnin 1,"(52.848462, 17.7218791)"
1,UP Inowrocław 2,"(52.781464299999996, 18.246308553210774)"
2,UP Żnin 1,"(52.848462, 17.7218791)"
3,UP Janowiec Wielkopolski,"(51.3232858, 21.890616)"
4,UP Skaryszew,"(51.3105682, 21.2523856)"
5,UP Lębork 2,"(54.5326494, 17.744474748366954)"
6,FUP Bydgoszcz 1,"(53.12974625, 18.029369658534854)"
7,UP Pleszew 1,"(51.8960985, 17.7865673)"
8,UP Śrem 1,"(51.6428477, 15.9255544)"
9,UP Biała,"(52.7962925, 23.2369031)"
10,UP Buk,"(52.357408, 16.5166799)"
11,UP Sulechów 1,"(52.0854782, 15.6259091)"
12,Centrum Obsługi Finansowej Bytom,"(51.2132271, 16.1685005)"
13,UP Rogowo Żnińskie,"(52.7236965, 17.6508776)"
14,UP Olsztyn 2,"(53.7767239, 20.477781292210345)"
15,UP Poznań 1,"(52.4006632, 16.91973259178088)"
16,UP Szczecin 2,"(53.4301818, 14.5509623)"
17,UP Limanowa,"(49.7149918, 20.423074222125905)"
18,UP Rybnik 15,"(50.0955793, 18.5419933)"
19,UP Trzemeszno,"(52.5600669, 17.8208936)"
20,UP Rybnik 1,"(50.0955793, 18.5419933)"
21,UP Koszalin 2,"(54.20727105, 16.217530768271565)"
22,UP Zielona Góra 2,"(53.056101, 23.8370742)"
23,UP Kikół,"(52.912338, 19.1203608)"
24,UP Chojnice 2,"(53.6999165, 17.570344138115953)"
25,UP Gostyń Poznański 1,"(51.8778633, 17.0167637)"
26,UP Pabianice 1,"(51.6662312, 19.35925466859993)"
27,UP Wyszków 1,"(52.5928035, 21.4584581)"
28,UP Zambrów 1,"(52.975833300000005, 22.23729346971591)"
29,UP Garwolin 1,"(51.8958048, 21.621064749998972)"
30,UP Bydgoszcz 31,"(53.12974625, 18.029369658534854)"
31,UP Bydgoszcz 1,"(53.12974625, 18.029369658534854)"
32,UP Sopot 1,"(54.44190905, 18.54309444570447)"
33,UP Wałcz 1,"(53.27285375, 16.476817657727903)"
34,UP Mogilno 1,"(52.657341, 17.9500677)"
35,UP Poznań 50,"(52.4006632, 16.91973259178088)"
36,UP Strzelce Krajeńskie,"(52.67644, 18.10092)"
37,UP Szamotuły,"(52.6120328, 16.5831241)"
38,UP Gniezno 1,"(52.52465015, 17.598152438162245)"
39,UP Kędzierzyn-Koźle 4,"(50.3448836, 18.2109594)"
40,UP Bydgoszcz 33,"(53.12974625, 18.029369658534854)"
41,UP Katowice 14,"(50.2137321, 19.00588775660632)"
42,UP Gorzów Wielkopolski 1,"(50.0799574, 19.2325957)"
43,UP Toruń 1,"(53.0145361, 18.596583144651557)"
44,UP Barcin 1,"(52.8632346, 17.9472463)"
45,UP Wągrowiec,"(52.81220655, 17.201913487483125)"
46,UP Warszawa 79,"(52.2319581, 21.0067249)"
47,UP Września 1,"(52.3250694, 17.5652282)"
48,UP Warszawa 93,"(52.2319581, 21.0067249)"
49,PP PP-Wrocław D101,
50,UP Wieliczka,"(49.9823773, 20.0602114)"
51,UP Konin 2,"(52.25590205, 18.267866211748718)"
52,UP Poznań 41,"(52.4006632, 16.91973259178088)"
53,UP Łódź 1,"(51.7687323, 19.4569911)"
54,UP Poznań 11,"(52.4006632, 16.91973259178088)"
55,UP Wrocław 68,"(51.1263106, 16.97819633051261)"
