,distance,sending_weekday,delivery_type,post_office_type,sending_hour_category,vehicle_travel_time,sending_hour,delivery_time_hours
0,20.0,2,Priority registered letter,UP,0,0.29508196721311475,14,24.15
1,61.1,2,Economy registered letter,UP,0,0.9508196721311475,14,42.88333333333333
2,20.6,2,Economy registered letter,UP,1,0.32786885245901637,15,20.05
3,0.0,2,Economy registered letter,UP,1,0.0,15,19.15
4,20.6,2,Economy registered letter,UP,1,0.32786885245901637,15,18.916666666666668
5,408.0,2,Economy registered letter,UP,1,4.311475409836065,15,116.88333333333334
6,0.0,2,Economy registered letter,UP,1,0.0,15,22.35
7,0.0,2,Economy registered letter,UP,1,0.0,15,19.45
8,0.0,2,Economy registered letter,UP,1,0.0,15,21.583333333333332
9,238.0,2,Economy registered letter,UP,1,3.5245901639344264,15,114.16666666666667
10,0.0,2,Economy registered letter,UP,1,0.0,15,23.0
11,0.0,2,Economy registered letter,UP,1,0.0,15,21.933333333333334
12,61.8,2,Economy registered letter,UP,1,0.8852459016393442,15,112.95
13,20.6,2,Priority registered letter,UP,1,0.32786885245901637,15,19.583333333333332
14,0.0,2,Economy registered letter,UP,1,0.0,15,22.733333333333334
15,0.0,2,Economy registered letter,UP,1,0.0,15,19.466666666666665
16,0.0,2,Economy registered letter,UP,1,0.0,15,19.433333333333334
17,0.0,2,Economy registered letter,UP,1,0.0,15,21.283333333333335
18,109.0,2,Priority registered letter,UP,1,1.721311475409836,15,45.483333333333334
19,97.8,2,Priority registered letter,UP,1,1.2459016393442623,15,40.28333333333333
20,180.0,2,Priority registered letter,UP,1,2.639344262295082,15,41.61666666666667
21,113.0,2,Priority registered letter,UP,1,1.2459016393442623,15,41.81666666666667
22,213.0,2,Priority registered letter,UP,1,2.1147540983606556,15,39.65
23,456.0,2,Priority registered letter,UP,1,4.344262295081967,16,43.6
24,12.8,4,Economy registered letter,UP,0,0.2786885245901639,9,71.01666666666667
25,20.6,4,Economy registered letter,UP,0,0.32786885245901637,11,71.71666666666667
26,287.0,4,Economy registered letter,UP,0,3.7704918032786887,11,72.38333333333334
27,65.1,5,Priority registered letter,UP,0,1.0327868852459017,10,72.51666666666667
28,342.0,0,Priority registered letter,UP,0,3.3114754098360657,12,25.533333333333335
29,599.0,0,Economy registered letter,UP,0,6.049180327868853,13,69.25
30,61.8,0,Priority registered letter,UP,0,0.8688524590163934,13,20.016666666666666
31,20.6,0,Priority registered letter,UP,0,0.32786885245901637,14,20.716666666666665
32,0.0,0,Economy registered letter,UP,0,0.0,14,22.716666666666665
33,20.6,0,Economy registered letter,UP,0,0.32786885245901637,14,20.633333333333333
34,455.0,0,Economy registered letter,UP,0,4.426229508196721,14,67.0
35,20.6,0,Economy registered letter,UP,0,0.32786885245901637,14,20.6
36,0.0,0,Economy registered letter,UP,0,0.0,14,19.883333333333333
37,61.1,0,Economy registered letter,UP,0,0.9508196721311475,14,42.96666666666667
38,0.0,0,Economy registered letter,UP,0,0.0,14,18.983333333333334
39,20.6,0,Economy registered letter,UP,0,0.32786885245901637,14,19.8
40,0.0,0,Economy registered letter,UP,0,0.0,14,18.716666666666665
41,0.0,0,Economy registered letter,UP,0,0.0,14,18.583333333333332
42,0.0,0,Economy registered letter,UP,0,0.0,14,23.866666666666667
43,43.1,0,Economy registered letter,UP,0,0.6721311475409836,14,71.0
44,0.0,0,Economy registered letter,UP,0,0.0,14,22.766666666666666
45,20.6,0,Economy registered letter,UP,1,0.32786885245901637,15,20.583333333333332
46,454.0,0,Priority registered letter,UP,1,4.409836065573771,15,44.46666666666667
47,213.0,0,Priority registered letter,UP,1,3.0163934426229506,15,43.78333333333333
48,230.0,0,Priority registered letter,UP,1,2.262295081967213,15,41.583333333333336
49,230.0,0,Priority registered letter,UP,1,2.262295081967213,15,41.583333333333336
50,230.0,0,Priority registered letter,UP,1,2.262295081967213,15,41.583333333333336
51,157.0,0,Economy registered letter,UP,1,2.0,15,50.583333333333336
52,20.6,0,Priority registered letter,UP,1,0.32786885245901637,15,20.116666666666667
53,0.0,0,Economy registered letter,UP,1,0.0,15,21.466666666666665
54,0.0,0,Economy registered letter,UP,1,0.0,15,21.55
55,0.0,0,Economy registered letter,UP,1,0.0,15,23.4
56,0.0,0,Economy registered letter,UP,1,0.0,15,20.783333333333335
57,61.8,0,Economy registered letter,UP,1,0.8852459016393442,15,41.233333333333334
58,0.0,0,Economy registered letter,UP,1,0.0,15,19.5
59,0.0,0,Economy registered letter,UP,1,0.0,15,19.35
60,0.0,0,Economy registered letter,UP,1,0.0,15,18.7
61,0.0,0,Economy registered letter,UP,1,0.0,15,20.416666666666668
62,0.0,0,Economy registered letter,UP,1,0.0,15,20.733333333333334
63,20.6,0,Economy registered letter,UP,1,0.32786885245901637,15,19.983333333333334
64,0.0,0,Economy registered letter,UP,1,0.0,15,22.283333333333335
65,20.0,0,Economy registered letter,UP,1,0.29508196721311475,15,21.366666666666667
66,0.0,0,Economy registered letter,UP,1,0.0,15,17.783333333333335
67,138.0,0,Economy registered letter,UP,1,1.8688524590163935,15,41.03333333333333
68,126.0,0,Economy registered letter,UP,1,1.6885245901639345,15,65.85
69,245.0,0,Economy registered letter,UP,1,2.819672131147541,15,67.2
70,394.0,0,Economy registered letter,UP,1,3.8524590163934427,15,90.56666666666666
71,456.0,0,Priority registered letter,UP,1,4.360655737704918,16,44.416666666666664
72,20.6,0,Priority registered letter,UP,1,0.32786885245901637,16,20.85
73,462.0,0,Economy registered letter,UP,1,4.475409836065574,16,67.51666666666667
74,406.0,2,Priority registered letter,UP,0,4.016393442622951,8,24.05
75,72.0,2,Economy registered letter,UP,0,0.9836065573770492,9,48.516666666666666
76,62.5,2,Economy registered letter,UP,0,0.9180327868852459,9,50.166666666666664
77,253.0,2,Priority registered letter,UP,0,3.0491803278688523,10,24.416666666666668
78,62.5,2,Priority registered letter,UP,0,0.9180327868852459,10,25.2
79,118.0,2,Economy registered letter,UP,0,1.7540983606557377,10,49.88333333333333
80,39.5,2,Priority registered letter,UP,0,0.7377049180327869,10,20.5
81,64.4,2,Priority registered letter,UP,0,1.0491803278688525,10,20.866666666666667
82,155.0,2,Priority registered letter,UP,0,2.442622950819672,11,25.833333333333332
83,61.8,2,Priority registered letter,UP,0,0.8852459016393442,11,20.466666666666665
84,76.0,2,Priority registered letter,UP,0,1.2622950819672132,11,22.916666666666668
85,0.0,2,Economy registered letter,UP,0,0.0,11,27.016666666666666
86,0.0,2,Economy registered letter,UP,0,0.0,11,24.883333333333333
87,0.0,2,Economy registered letter,UP,0,0.0,11,29.016666666666666
88,138.0,2,Priority registered letter,UP,0,1.8688524590163935,11,23.3
89,27.7,2,Priority registered letter,UP,0,0.5245901639344263,12,21.083333333333332
90,410.0,2,Priority registered letter,UP,0,3.9344262295081966,12,45.5
91,64.4,2,Priority registered letter,UP,0,0.8852459016393442,12,21.95
92,468.0,2,Priority registered letter,UP,0,4.442622950819672,12,20.716666666666665
93,242.0,2,Priority registered letter,UP,0,2.4262295081967213,13,44.016666666666666
94,39.5,2,Priority registered letter,UP,0,0.7377049180327869,13,17.233333333333334
95,110.0,2,Priority registered letter,UP,0,1.4918032786885247,13,19.266666666666666
96,20.6,2,Priority registered letter,UP,0,0.32786885245901637,14,19.866666666666667
97,20.6,2,Priority registered letter,UP,0,0.32786885245901637,14,18.583333333333332
98,20.6,2,Priority registered letter,UP,0,0.32786885245901637,14,18.55
99,0.0,2,Economy registered letter,UP,0,0.0,14,24.533333333333335
100,0.0,2,Economy registered letter,UP,0,0.0,14,21.083333333333332
101,0.0,2,Economy registered letter,UP,0,0.0,14,25.683333333333334
102,20.0,2,Economy registered letter,UP,0,0.29508196721311475,14,18.116666666666667
103,0.0,2,Economy registered letter,UP,0,0.0,14,20.95
104,0.0,2,Economy registered letter,UP,0,0.0,14,24.1
105,20.0,2,Economy registered letter,UP,1,0.29508196721311475,15,17.383333333333333
106,20.6,2,Economy registered letter,UP,1,0.32786885245901637,15,16.0
107,12.8,2,Economy registered letter,UP,1,0.2786885245901639,15,20.6
108,20.6,2,Economy registered letter,UP,1,0.32786885245901637,15,17.35
109,20.6,2,Economy registered letter,UP,1,0.32786885245901637,15,20.25
110,12.8,2,Economy registered letter,UP,1,0.2786885245901639,15,19.466666666666665
111,12.8,2,Economy registered letter,UP,1,0.2786885245901639,15,22.2
112,12.8,2,Economy registered letter,UP,1,0.2786885245901639,15,17.65
113,20.6,2,Economy registered letter,UP,1,0.32786885245901637,15,22.85
114,12.8,2,Economy registered letter,UP,1,0.2786885245901639,15,18.45
115,20.6,2,Economy registered letter,UP,1,0.32786885245901637,15,21.0
116,39.0,2,Economy registered letter,UP,1,0.6065573770491803,15,43.93333333333333
117,39.0,2,Economy registered letter,UP,1,0.6065573770491803,15,43.916666666666664
118,12.8,2,Economy registered letter,UP,1,0.2786885245901639,15,19.116666666666667
119,456.0,2,Priority registered letter,UP,1,4.360655737704918,16,44.61666666666667
120,61.8,2,Economy registered letter,UP,1,0.8688524590163934,16,40.46666666666667
121,0.0,2,Economy registered letter,UP,1,0.0,16,22.483333333333334
122,0.0,2,Economy registered letter,UP,1,0.0,16,22.5
123,0.0,2,Economy registered letter,UP,1,0.0,16,19.083333333333332
124,0.0,2,Economy registered letter,UP,1,0.0,16,18.266666666666666
125,0.0,2,Economy registered letter,UP,1,0.0,16,18.483333333333334
126,0.0,2,Economy registered letter,UP,1,0.0,16,19.0
127,20.6,2,Economy registered letter,UP,1,0.32786885245901637,16,17.75
128,20.6,2,Priority registered letter,UP,1,0.32786885245901637,15,16.983333333333334
129,20.6,2,Economy registered letter,UP,1,0.32786885245901637,15,19.183333333333334
130,20.6,2,Economy registered letter,UP,1,0.32786885245901637,16,19.083333333333332
131,20.6,2,Economy registered letter,UP,1,0.32786885245901637,16,21.25
132,0.0,2,Economy registered letter,UP,1,0.0,16,22.033333333333335
133,0.0,2,Economy registered letter,UP,1,0.0,16,21.583333333333332
134,23.4,2,Economy registered letter,UP,1,0.39344262295081966,16,118.38333333333334
135,61.8,2,Economy registered letter,UP,1,0.8688524590163934,16,40.61666666666667
136,20.6,2,Economy registered letter,UP,1,0.32786885245901637,16,19.083333333333332
137,253.0,2,Economy registered letter,UP,1,3.0491803278688523,16,115.1
138,20.6,2,Economy registered letter,UP,1,0.32786885245901637,16,16.666666666666668
139,339.0,2,Economy registered letter,UP,1,3.2950819672131146,16,135.85
