;sending_location;delivery_location
0;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Mielec 1
1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kozienice 1
2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lębork 2
3;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Oleśnica Śląska 1
4;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Szczecin Z101
5;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraśnik 1
6;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Piotrków Trybunalski 1
7;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sejny
8;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Toruń 1
9;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Białystok B103
10;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zielona Góra 2
11;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Świdnica Śląska 1
12;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Nysa 1
13;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Chrzanów
14;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kielce 2
15;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ruda Śląska 9
16;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Katowice 1
17;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 2
18;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Stargard 2
19;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Toruń 3
20;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Oświęcim
21;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraków 4
22;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Chodzież
23;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skierniewice 2
24;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Lublin L101
25;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Będzin 1
26;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 89
27;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wrocław 9
28;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 26
29;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pruszcz Gdański 1
30;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 50
31;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 1
32;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrowiec Świętokrzyski 1
33;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Świdnik k. Lublina 1
34;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lublin 9
35;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Choszczno 1
36;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Puławy 1
37;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jawor 1
38;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łódź 6
39;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Koszalin 2
40;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Konin 1
41;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrów Wielkopolski 2
42;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Siedlce 2
43;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pyrzyce
44;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ostrów Mazowiecka 1
45;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Bielsk Podlaski 1
46;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Rybnik 1
47;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skarżysko-Kamienna 2
48;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płock 4
49;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 2
50;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Włocławek 14
