0;0;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Mielec 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Mielec 1;651 km;7 hr 10 min
1;1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kozienice 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kozienice 1;510 km;5 hr 24 min
2;2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lębork 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lębork 2;59.5 km;1 hr 21 min
3;3;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Oleśnica Śląska 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Oleśnica Śląska 1;544 km;5 hr 14 min
4;4;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Szczecin Z101;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Szczecin Z101;350 km;4 hr 48 min
5;5;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraśnik 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraśnik 1;658 km;6 hr 56 min
6;6;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Piotrków Trybunalski 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Piotrków Trybunalski 1;396 km;4 hr 7 min
7;7;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sejny;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sejny;447 km;5 hr 23 min
8;8;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Toruń 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Toruń 1;195 km;2 hr 7 min
9;9;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Białystok B103;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Białystok B103;457 km;4 hr 51 min
10;10;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zielona Góra 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zielona Góra 2;480 km;5 hr 33 min
11;11;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Świdnica Śląska 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Świdnica Śląska 1;632 km;6 hr 18 min
12;12;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Nysa 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Nysa 1;674 km;6 hr 40 min
13;13;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Chrzanów;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Chrzanów;578 km;6 hr 28 min
14;14;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kielce 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kielce 2;571 km;5 hr 45 min
15;15;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ruda Śląska 9;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Ruda Śląska 9;545 km;6 hr 12 min
16;16;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Katowice 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Katowice 1;550 km;6 hr 21 min
17;17;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdynia 2;0;0
18;18;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Stargard 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Stargard 2;329 km;4 hr 37 min
19;19;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Toruń 3;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Toruń 3;194 km;2 hr 2 min
20;20;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Oświęcim;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Oświęcim;580 km;6 hr 42 min
21;21;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraków 4;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraków 4;633 km;7 hr 3 min
22;22;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Chodzież;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Chodzież;278 km;3 hr 44 min
23;23;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skierniewice 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skierniewice 2;381 km;3 hr 50 min
24;24;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Lublin L101;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Lublin L101;633 km;6 hr 23 min
25;25;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Będzin 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Będzin 1;546 km;6 hr 9 min
26;26;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 89;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 89;455 km;4 hr 57 min
27;27;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wrocław 9;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Wrocław 9;577 km;5 hr 45 min
28;28;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 26;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 26;19.0 km;40 min
29;29;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pruszcz Gdański 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pruszcz Gdański 1;44.4 km;39 min
30;30;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 50;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 50;38.3 km;39 min
31;31;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 1;447 km;4 hr 41 min
